153	154	6	2	no	2016-02-28 02:24:55.693455+00
158	159	6	7	no	2016-02-28 02:24:55.693455+00
181	182	6	30	no	2016-02-28 02:24:55.693455+00
184	185	7	3	no	2016-02-28 02:24:55.693455+00
139	140	5	19	no	2016-02-28 02:24:55.693455+00
109	110	4	19	no	2016-02-28 02:24:55.693455+00
141	142	5	21	no	2016-02-28 02:24:55.693455+00
166	167	6	15	no	2016-02-28 02:24:55.693455+00
110	111	4	20	no	2016-02-28 02:24:55.693455+00
175	176	6	24	no	2016-02-28 02:24:55.693455+00
137	138	5	17	no	2016-02-28 02:24:55.693455+00
145	146	5	25	no	2016-02-28 02:24:55.693455+00
142	143	5	22	no	2016-02-28 02:24:55.693455+00
140	141	5	20	no	2016-02-28 02:24:55.693455+00
154	155	6	3	no	2016-02-28 02:24:55.693455+00
162	163	6	11	no	2016-02-28 02:24:55.693455+00
67	68	3	8	no	2016-02-28 02:24:55.693455+00
102	103	4	12	no	2016-02-28 02:24:55.693455+00
72	73	3	13	no	2016-02-28 02:24:55.693455+00
108	109	4	18	no	2016-02-28 02:24:55.693455+00
103	104	4	13	no	2016-02-28 02:24:55.693455+00
19	19	1	19	no	2016-02-28 02:24:55.693455+00
62	63	3	3	no	2016-02-28 02:24:55.693455+00
182	183	7	1	no	2016-02-28 02:24:55.693455+00
100	101	4	10	no	2016-02-28 02:24:55.693455+00
69	70	3	10	no	2016-02-28 02:24:55.693455+00
146	147	5	26	no	2016-02-28 02:24:55.693455+00
156	157	6	5	no	2016-02-28 02:24:55.693455+00
105	106	4	15	no	2016-02-28 02:24:55.693455+00
101	102	4	11	no	2016-02-28 02:24:55.693455+00
176	177	6	25	no	2016-02-28 02:24:55.693455+00
178	179	6	27	no	2016-02-28 02:24:55.693455+00
106	107	4	16	no	2016-02-28 02:24:55.693455+00
190	191	7	9	no	2016-02-28 02:24:55.693455+00
183	184	7	2	no	2016-02-28 02:24:55.693455+00
188	189	7	7	no	2016-02-28 02:24:55.693455+00
186	187	7	5	no	2016-02-28 02:24:55.693455+00
189	190	7	8	no	2016-02-28 02:24:55.693455+00
195	196	7	14	no	2016-02-28 02:24:55.693455+00
192	193	7	11	no	2016-02-28 02:24:55.693455+00
193	194	7	12	no	2016-02-28 02:24:55.693455+00
185	186	7	4	no	2016-02-28 02:24:55.693455+00
194	195	7	13	no	2016-02-28 02:24:55.693455+00
197	198	7	16	no	2016-02-28 02:24:55.693455+00
