1	2	spring
12	4	spring
15	5	spring
8	0	spring
16	0	spring
10	3	spring
15	4	spring
16	6	spring
9	0	spring
13	3	spring
16	4	spring
17	6	spring
22	1	spring
14	3	spring
17	4	spring
18	6	spring
13	0	spring
19	3	spring
18	4	spring
19	6	spring
5	2	spring
20	3	spring
20	5	spring
20	6	spring
11	2	spring
21	3	spring
21	5	spring
10	0	spring
8	2	spring
22	3	spring
22	5	spring
11	0	spring
1	4	spring
23	3	spring
23	5	spring
12	0	spring
6	4	spring
19	4	spring
1	6	spring
15	0	spring
17	0	spring
18	0	spring
19	0	spring
20	0	spring
21	0	spring
22	0	spring
23	0	spring
9	2	spring
12	2	spring
14	2	spring
17	2	spring
18	2	spring
23	2	spring
0	3	spring
2	3	spring
3	3	spring
4	3	spring
6	3	spring
7	3	spring
5	4	spring
8	4	spring
9	4	spring
11	4	spring
0	5	spring
2	5	spring
3	5	spring
4	5	spring
7	5	spring
10	5	spring
13	5	spring
14	5	spring
3	6	spring
5	6	spring
6	6	spring
8	6	spring
9	6	spring
11	6	spring
12	6	spring
1	0	spring
2	0	spring
3	0	spring
4	0	spring
5	0	spring
6	0	spring
7	0	spring
15	0	summer
16	0	summer
0	1	summer
1	1	summer
2	2	summer
11	2	summer
12	2	summer
0	3	summer
1	3	summer
2	3	summer
21	3	summer
1	4	summer
9	4	summer
11	4	summer
0	5	summer
21	5	summer
22	5	summer
1	6	summer
5	0	summer
13	0	summer
0	5	winter
1	5	winter
5	5	winter
6	5	winter
0	6	winter
2	6	winter
3	6	winter
4	6	winter
6	6	winter
1	0	winter
2	0	winter
3	0	winter
5	0	winter
5	1	winter
6	1	winter
2	2	winter
4	2	winter
0	3	winter
1	3	winter
3	3	winter
5	3	winter
6	3	winter
2	4	winter
3	4	winter
4	4	winter
11	4	winter
18	5	winter
10	0	winter
21	0	winter
18	3	winter
21	5	winter
12	0	winter
10	2	winter
21	3	winter
8	5	winter
15	0	winter
14	2	winter
0	4	winter
1	6	winter
8	6	summer
9	6	summer
11	6	summer
12	6	summer
16	6	summer
17	6	summer
18	6	summer
20	6	summer
3	0	summer
4	0	summer
6	0	summer
7	0	summer
8	0	summer
9	0	summer
10	0	summer
11	0	summer
12	0	summer
17	0	summer
18	0	summer
19	0	summer
20	0	summer
21	0	summer
22	0	summer
23	0	summer
22	1	summer
4	2	summer
5	2	summer
8	2	summer
9	2	summer
15	2	summer
16	2	summer
17	2	summer
18	2	summer
23	2	summer
6	3	summer
7	3	summer
10	3	summer
13	3	summer
14	3	summer
19	3	summer
20	3	summer
22	3	summer
23	3	summer
4	4	summer
5	4	summer
6	4	summer
8	4	summer
12	4	summer
15	4	summer
16	4	summer
17	4	summer
18	4	summer
19	4	summer
2	5	summer
4	5	summer
7	5	summer
10	5	summer
13	5	summer
14	5	summer
15	5	summer
20	5	summer
5	6	summer
6	6	summer
16	0	winter
16	2	winter
7	4	winter
11	6	winter
17	0	winter
23	2	winter
14	4	winter
8	6	winter
18	0	winter
8	3	winter
12	5	winter
10	6	winter
22	5	winter
7	6	winter
14	6	winter
15	6	winter
16	6	winter
17	6	winter
20	6	winter
23	6	winter
0	1	spring
2	1	spring
0	0	winter
8	0	winter
9	0	winter
11	0	winter
14	0	winter
19	0	winter
20	0	winter
2	2	spring
22	0	winter
23	0	winter
0	1	winter
1	1	winter
20	1	winter
22	1	winter
0	2	winter
13	2	winter
15	2	winter
16	4	winter
20	4	winter
23	4	winter
9	5	winter
13	5	winter
19	5	winter
19	2	winter
9	3	winter
11	3	winter
12	3	winter
17	3	winter
19	3	winter
22	3	winter
1	4	winter
10	4	winter
13	4	winter
15	4	winter
17	4	winter
0	4	spring
1	5	spring
0	0	spring
2	4	spring
2	6	spring
1	1	spring
0	2	spring
1	3	spring
7	5	winter
5	6	winter
9	6	winter
7	4	spring
10	4	spring
5	5	spring
7	1	winter
8	1	winter
9	1	winter
5	2	winter
7	2	winter
2	3	winter
6	1	spring
7	1	spring
8	1	spring
4	0	winter
6	0	winter
7	0	winter
2	1	winter
3	1	winter
4	1	winter
4	3	winter
7	3	winter
5	4	winter
6	4	winter
8	4	winter
9	4	winter
2	5	winter
3	5	winter
4	5	winter
1	0	summer
2	1	summer
0	2	summer
1	2	summer
0	4	summer
2	4	summer
1	5	summer
2	6	summer
7	6	summer
0	0	summer
3	1	spring
4	1	spring
5	1	spring
9	1	spring
10	1	spring
3	2	spring
4	2	spring
6	2	spring
7	2	spring
10	2	spring
5	3	spring
8	3	spring
9	3	spring
3	4	spring
4	4	spring
6	5	spring
8	5	spring
9	5	spring
4	6	spring
7	6	spring
10	6	spring
15	5	winter
16	1	winter
16	5	winter
17	5	winter
12	6	winter
13	6	winter
18	6	winter
14	4	spring
11	5	spring
12	5	spring
12	1	spring
13	1	spring
14	1	spring
13	0	winter
10	1	winter
11	1	winter
12	1	winter
13	1	winter
14	1	winter
15	1	winter
17	1	winter
17	2	winter
18	2	winter
10	3	winter
13	3	winter
14	3	winter
15	3	winter
16	3	winter
12	4	winter
18	4	winter
10	5	winter
15	1	spring
11	5	winter
14	5	winter
16	1	spring
17	1	spring
18	1	spring
13	2	spring
11	3	spring
12	3	spring
15	3	spring
16	3	spring
17	3	spring
13	4	spring
16	5	spring
17	5	spring
18	5	spring
13	6	spring
14	6	spring
15	6	spring
14	0	spring
11	1	spring
15	6	summer
3	1	summer
4	1	summer
5	1	summer
6	1	summer
7	1	summer
8	1	summer
10	1	summer
17	1	summer
18	1	summer
6	2	summer
7	2	summer
10	2	summer
13	2	summer
3	3	summer
5	3	summer
8	3	summer
9	3	summer
11	3	summer
